toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
2283.01,198211976,FA,16h33m19.99s,248.333273,+63d31m28.19s,63.524496,-56.427,0.041,-0.041,0,109.157,0.052,-0.052,0,2458683.724,0.001987,-0.001987,0,0.4018586,0.000014,-0.000014,0,1.5779753,0.6501796,-0.6501796,0,111.3648011,23.801058,-23.801058,0,0.5525072,2.1341093,-2.1341093,0,568.7058283,,,,1245.494085,,,,11.2076,0.007,-0.007,0,49.7627,0.06025,-0.06025,0,3621,157,-157,0,4.7197,0.008557,-0.008557,0,0.520283,0.0152485,-0.0152485,0,9/30/2020 13:26,8/3/2023 10:10
2284.01,115446313,FP,16h49m53.25s,252.471891,+47d19m01.14s,47.316983,-4.311,0.04,-0.04,0,43.332,0.047,-0.047,0,2460471.356,0.004781,-0.004781,0,4.9707023,0.0000263,-0.0000263,0,2.586,0.584,-0.584,0,487,30.6483,-30.6483,0,2.38733,0.155559,-0.155559,0,328.783,,,,1186,,,,9.88372,0.006,-0.006,0,174.932,0.657,-0.657,0,6109,128.225,-128.225,0,4.33438,0.0796843,-0.0796843,0,1.21,0.05,-0.05,0,9/30/2020 13:26,8/13/2024 10:08
2285.01,329148988,CP,22h10m15.18s,332.563264,+58d42m21.93s,58.706093,21.263,0.054,-0.054,0,-20.874,0.044,-0.044,0,2458747.185,0.004706,-0.004706,0,27.2672016,0.0002043,-0.0002043,0,2.4164839,1.4647499,-1.4647499,0,1154.327889,227.82411,-227.82411,0,1.5781136,2.7466471,-2.7466471,0,1.6051398,,,,287.0767134,,,,11.3078,0.007,-0.007,0,42.409,0.047,-0.047,0,3546,157,-157,0,4.77262,0.0066053,-0.0066053,0,0.460014,0.0137236,-0.0137236,0,9/30/2020 13:26,9/18/2024 10:08
2286.01,237201858,PC,19h31m17.6s,292.823315,+72d32m17.94s,72.538317,-15.379,0.04,-0.04,0,12.25,0.043,-0.043,0,2458811.505,0.005684,-0.005684,0,179.4031712,0.0014116,-0.0014116,0,10.7569968,0.6734482,-0.6734482,0,618.5780905,44.126,-44.126,0,3.7472354,0.6792988,-0.6792988,0,8.4378703,,,,434.6883098,,,,9.85236,0.006,-0.006,0,233.507,1.0275,-1.0275,0,6863,212.202,-212.202,0,4.27882,0.0938819,-0.0938819,0,1.4648,0.0625327,-0.0625327,0,9/30/2020 13:26,5/19/2023 16:02
2287.01,160077104,PC,14h51m00.19s,222.75079,+85d53m43.41s,85.895391,-94.746,0.037,-0.037,0,-37.743,0.034,-0.034,0,2458688.986,0.002612,-0.002612,0,11.8120707,0.0000551,-0.0000551,0,3.3324162,0.3411802,-0.3411802,0,189.027556,16.786558,-16.786558,0,1.7481305,0.6981198,-0.6981198,0,154.3200348,,,,898.9288685,,,,8.5709,0.006,-0.006,0,94.9685,0.1886,-0.1886,0,6037,121.613,-121.613,0,4.32817,0.0746383,-0.0746383,0,1.20105,0.0548794,-0.0548794,0,9/30/2020 13:26,3/9/2023 16:02
2288.01,462615350,PC,16h44m28.6s,251.11918,+60d05m09.75s,60.086043,-0.849,0.033,-0.033,0,-14.245,0.048,-0.048,0,2458740.424,0.001344,-0.001344,0,8.9172211,0.0000176,-0.0000176,0,2.6426767,0.323494,-0.323494,0,2147.081691,106.59987,-106.59987,0,2.7931797,0.947656,-0.947656,0,17.1075621,,,,518.7006367,,,,12.709,0.006,-0.006,0,132.907,0.29,-0.29,0,4066,130.915,-130.915,0,4.67766,0.112229,-0.112229,0,0.605243,0.0581935,-0.0581935,0,9/30/2020 13:26,4/8/2024 12:02
2289.01,82452140,PC,17h00m23.41s,255.097557,+39d43m48.9s,39.73025,4.347,0.057,-0.057,0,74.99,0.049,-0.049,0,2458964.279,0.005848,-0.005848,0,63.39545,0.0007535,-0.0007535,0,5.1295954,0.5549604,-0.5549604,0,851.8694759,86.11641,-86.11641,0,3.3507179,0.3935614,-0.3935614,0,10.0390505,,,,453.9864688,,,,10.0011,0.006,-0.006,0,139.616,0.6075,-0.6075,0,5717,124.297,-124.297,0,4.43377,0.0752605,-0.0752605,0,1.0149601,0.0507136,-0.0507136,0,9/30/2020 13:26,3/9/2023 16:02
229.01,120610833,KP,00h20m57.06s,5.237757,-35d59m54.47s,-35.998465,52.895,0.049,-0.049,0,-46.888,0.036,-0.036,0,2458354.773,0.000279,-0.000279,0,3.1260778,0.0000023,-0.0000023,0,1.7185367,0.0270015,-0.0270015,0,11383.75271,216.12529,-216.12529,0,10.9257115,0.7295448,-0.7295448,0,328.1564535,,,,1085.525393,,,,11.5005,0.006,-0.006,0,211.196,1.7515,-1.7515,0,5100,,,0,4.4651,,,0,0.874706,0.0567763,-0.0567763,0,11/29/2018 21:52,12/1/2021 16:02
2290.01,321688498,PC,21h26m23.9s,321.599582,+68d38m25.91s,68.640531,-7.312,0.043,-0.043,0,40.732,0.043,-0.043,0,2458764.987,0.000883,-0.000883,0,0.3862197,0.0000091,-0.0000091,0,0.9122445,0.3226046,-0.3226046,0,437.6381201,54.123974,-54.123974,0,1.1988782,2.0433514,-2.0433514,0,873.6229278,,,,1386.598594,,,,11.1079,0.007,-0.007,0,58.0924,0.0729,-0.0729,0,3863,157,-157,0,4.67991,0.0101502,-0.0101502,0,0.566304,0.0169066,-0.0169066,0,9/30/2020 13:26,5/19/2023 16:02
2291.01,236934937,PC,20h17m11.77s,304.299053,+65d52m17.61s,65.871559,13.15,0.046,-0.046,0,129.642,0.052,-0.052,0,2459620.204,0.005363,-0.005363,0,9.405877,0.0000225,-0.0000225,0,1.5560322,0.2370116,-0.2370116,0,1425.933018,123.229774,-123.229774,0,1.977596,0.3172825,-0.3172825,0,9.8226818,,,,451.5202868,,,,11.9959,0.007,-0.007,0,69.3787,0.10095,-0.10095,0,3869,157,-157,0,4.75875,0.006998,-0.006998,0,0.475701,0.0139575,-0.0139575,0,9/30/2020 13:26,5/25/2023 16:02
